building_id,building_name,address,region,sqft,floors,year_built,has_solar,is_leed_certified,manager
B0001,Richardson LLC,"PSC 5150, Box 8011, APO AP 77453",North,9270,3,1970,Yes,No,Gregory Cole
B0002,Chavez Group,"4569 Dawn Glen, Amandahaven, MT 92072",North,9603,7,2013,No,Yes,Grant James
B0003,Collins-Oneill,"035 Eric Alley, West Matthew, ND 44422",West,2860,4,1977,No,No,Melissa Williams
B0004,"Walker, Reyes and Young","42415 Kimberly Lakes Apt. 426, Robertburgh, OK 01453",North,7390,9,1993,Yes,Yes,Courtney Ford
B0005,Wilson Inc,"9105 Evans Ranch Suite 941, North Wendyside, AZ 48268",North,7226,3,1980,No,Yes,Karen Lawson
B0006,"Brown, Chavez and Henderson","PSC 6022, Box 3420, APO AP 67658",East,7191,5,2020,Yes,No,Collin Curry MD
B0007,Kim-Snow,"Unit 8782 Box 0611, DPO AE 37791",South,5772,3,1986,Yes,No,Nathan Martinez
B0008,Martin Group,"287 Ho Track, New Michael, ID 62403",South,5092,7,1977,Yes,No,Mario Turner
B0009,Herrera-Butler,"46520 Washington Club, Tamarafurt, AR 12435",North,7734,5,2004,Yes,No,Tiffany Salazar
B0010,"Smith, Ochoa and Smith","26532 Kara Lodge Suite 696, New Angelaland, DE 43786",North,8265,9,2004,No,Yes,Matthew Ross
B0011,"Morgan, Robinson and Gardner","77238 Blake Forges, Jameschester, NC 39256",South,2466,7,2002,Yes,Yes,Heather Smith
B0012,Gallegos Inc,"06008 Brian Crossroad, North Jenniferhaven, ND 70970",East,7334,2,1974,No,Yes,Erik Howard
B0013,"Brooks, Todd and Paul","6465 Allison Light Suite 522, West Veronica, NJ 59745",East,6426,4,2011,No,No,Patrick Adams
B0014,"Ward, Villanueva and Webb","PSC 0675, Box 5563, APO AP 14973",South,7578,9,2008,No,No,Danielle Lara
B0015,Matthews Group,"914 Michelle Run, Jennifershire, WV 22425",North,8231,2,2010,Yes,No,Amanda Edwards
B0016,Williams-Jones,"9667 Wilkerson Shores Apt. 974, Changhaven, OK 97767",North,5444,9,1997,No,No,Kenneth Kent
B0017,Howard Ltd,"213 Kayla Park, North Victorfurt, SC 15169",South,5171,5,1976,Yes,Yes,Kimberly Bailey
B0018,Romero Group,"280 Sanchez Brook Suite 161, Port Robert, WA 85147",West,4919,2,1978,No,No,Julie Delgado
B0019,Walker Ltd,"72948 Warren Wall, Eddietown, SD 10514",South,9831,4,1977,Yes,Yes,Scott Leon
B0020,"Pierce, Salinas and Wells","074 Jackson Unions, Jennifershire, LA 38691",East,2130,7,1981,Yes,Yes,Phillip Cole
