usage_id,building_id,timestamp,kwh_consumed,meter_id,reading_type,is_peak,power_factor,voltage,current
80ece167-ca81-417d-8dc6-b61bdb3ee51e,B0023,2039-03-26 01:10:00,108.84,M036,Manual,No,0.75,238.74,40.6
abeba360-414a-4889-a281-d16b0ebd170d,B0014,2034-06-24 18:57:00,448.92,M001,Auto,Yes,0.78,228.85,35.54
5d617411-b23f-4f87-b70e-6bcde4122da4,B0020,2036-03-10 19:21:00,242.93,M048,Manual,Yes,0.89,230.43,35.15
148453b2-5995-4500-a14f-428672aeb1b3,B0037,2036-07-27 12:44:00,286.01,M051,Manual,Yes,0.85,211.1,41.18
e455150c-c077-4ac5-ac3c-6d8d995b467e,B0012,2029-02-12 17:03:00,350.8,M072,Manual,No,0.93,232.86,7.19
6f0470a7-4f51-4638-bf16-9fc970e92adc,B0046,2036-05-28 18:38:00,78.27,M052,Auto,No,0.86,226.18,41.26
7ab544cb-e172-4ce7-a1d8-7237265d6530,B0011,2037-10-27 03:53:00,306.16,M066,Auto,No,0.75,213.57,35.57
4dea9dd6-97a5-42f2-8f73-70cdca483497,B0049,2035-09-26 16:14:00,274.52,M081,Auto,No,0.81,217.89,45.41
d61dd6ff-be58-4b86-9026-6de9dd8c7d11,B0042,2033-07-16 15:32:00,109.5,M070,Auto,Yes,0.93,218.79,46.01
63406e3d-de2f-4cba-988d-8ffd5ab3ce94,B0031,2031-01-28 12:09:00,472.0,M026,Auto,No,0.98,217.11,44.81
a702a18a-f97e-4fb6-a51b-4c1cdc879a96,B0021,2035-06-23 16:09:00,303.44,M075,Manual,No,0.74,223.43,46.51
305693da-a7c7-44c0-8463-cd439afd276c,B0046,2035-07-04 07:19:00,350.44,M026,Manual,Yes,0.92,227.14,28.79
021d4249-210e-4e83-a6e7-baf9be8d7c22,B0032,2029-12-27 12:14:00,441.43,M072,Manual,Yes,0.76,234.73,14.8
d50e861c-e3bb-4acd-b28b-2a336b00e87b,B0050,2039-06-09 16:00:00,315.93,M021,Manual,No,0.85,226.99,24.34
e9ba1479-e535-4e1e-805c-badc77ad9d6d,B0044,2037-09-02 11:55:00,154.86,M039,Manual,No,0.74,228.95,27.4
bec9ac88-8ed7-4877-b64c-2c5f819490ff,B0001,2025-09-03 01:06:00,61.69,M024,Manual,Yes,0.84,226.59,46.79
6ae5ab5a-d5d4-4d7a-b2d4-aa838480ecbd,B0005,2038-05-11 15:53:00,233.7,M014,Manual,Yes,0.77,237.9,33.65
2d6f6469-2315-4d40-af85-5b896dfb6956,B0023,2032-04-04 03:31:00,117.04,M098,Auto,No,0.99,216.66,21.79
6a9cdb61-68bf-40f0-b418-5c600b25fa9b,B0035,2027-11-08 07:09:00,214.09,M003,Auto,Yes,0.92,234.0,16.09
d8e70c9b-693f-4bba-8247-e83d13c3b973,B0029,2035-05-15 13:53:00,442.81,M047,Manual,No,0.94,231.41,35.22
c009b809-8a34-4ac8-9d98-4d3778ed0c90,B0045,2035-10-14 06:41:00,168.93,M046,Manual,No,0.88,216.97,44.2
a7020f34-3550-4061-8f0a-c80eec47d330,B0033,2036-01-18 04:05:00,69.82,M060,Auto,No,0.7,228.26,28.51
4238a6db-a17c-464f-a1ba-6e0e53426413,B0026,2037-11-06 23:48:00,184.59,M100,Auto,No,0.94,236.26,5.36
792ff5c7-5256-45d3-b144-4e380220f70b,B0046,2038-03-17 23:24:00,454.35,M068,Auto,Yes,0.96,214.58,46.6
6d9b3b30-e15d-4a77-bf67-5cc913383416,B0044,2029-10-14 03:37:00,143.34,M065,Auto,Yes,0.71,239.96,5.87
523b67b2-b789-4298-8079-bdcaee345507,B0041,2026-09-13 16:23:00,327.37,M087,Manual,Yes,0.84,222.08,39.32
1b6e2981-b9e7-4de9-a836-46e461c3f79a,B0040,2025-09-20 18:28:00,10.25,M095,Auto,No,0.78,219.66,30.11
95a8cfef-e4f1-47ff-94ba-93502ea21544,B0027,2030-07-13 12:18:00,182.76,M065,Auto,Yes,0.85,236.88,9.77
de7fb3fa-6829-4c2a-bb2d-2ae7a48e0a87,B0033,2035-06-29 13:06:00,159.34,M093,Auto,No,0.86,233.0,31.4
5b25f1fe-786e-469b-856d-367ab1fb6da8,B0017,2038-02-24 04:46:00,90.68,M001,Auto,Yes,0.78,226.21,23.16
3fef4d87-132f-4970-b244-1e9e074db4f6,B0035,2036-10-20 03:06:00,271.7,M094,Manual,Yes,0.76,217.13,42.65
4a59c727-974e-401b-91a9-397cacec64ce,B0025,2027-09-29 15:25:00,247.57,M010,Manual,No,0.94,225.04,26.36
ed4c5e36-2d62-441f-ad4a-c53155bf836a,B0020,2027-03-22 17:06:00,349.29,M086,Auto,No,0.75,222.74,16.17
