lease_id,unit_id,property_id,tenant_id,start_date,end_date,monthly_rent,status,deposit_paid,furnished,payment_method
LF10CB3AA,U00001,P0026,T01545,2022-09-03,2023-03-02,1906.74,Expired,3019.41,No,Cash
LA7A35291,U00002,P0092,T02898,2022-09-28,2024-09-17,1836.35,Terminated,2215.62,No,Credit Card
L38FA3200,U00003,P0062,T00451,2023-12-19,2024-06-16,2386.98,Active,1053.43,No,Cash
L4E2A0E17,U00004,P0022,T00838,2023-07-31,2024-07-25,1778.04,Expired,1503.53,Yes,Credit Card
L6B08AF77,U00005,P0001,T01219,2024-08-03,2026-01-25,870.73,Expired,572.58,No,Cash
L7D938CCD,U00006,P0064,T00812,2023-03-06,2024-08-27,3045.58,Active,1319.21,Yes,Cash
L0EED8BC5,U00007,P0001,T01665,2024-08-14,2026-02-05,2198.81,Terminated,1396.18,Yes,Credit Card
L561E5A69,U00008,P0020,T01031,2024-12-24,2026-12-14,3339.83,Terminated,1277.89,No,Cash
L96A28E3C,U00009,P0057,T00935,2025-04-11,2026-10-03,1960.07,Expired,3118.19,Yes,Credit Card
L8CC0717D,U00010,P0090,T02112,2024-06-23,2025-06-18,3073.22,Expired,1058.3,Yes,Cash
LAB3DB52A,U00011,P0044,T02266,2023-11-16,2024-11-10,2967.14,Expired,1874.56,Yes,Credit Card
L59121E0C,U00012,P0006,T00411,2023-10-31,2025-04-23,2104.02,Active,900.44,Yes,Bank Transfer
L736F1BF5,U00013,P0028,T02492,2023-02-08,2025-01-28,1017.62,Expired,2683.82,No,Bank Transfer
LB8515D1B,U00014,P0090,T01031,2023-08-09,2025-07-29,2140.45,Expired,1810.55,No,Credit Card
LD9A1586C,U00015,P0091,T02084,2025-02-05,2027-01-26,2769.67,Expired,2796.54,No,Cash
L74EE53B0,U00016,P0052,T02880,2024-04-20,2025-04-15,1229.05,Terminated,2330.68,Yes,Cash
L25E87BCA,U00017,P0096,T02158,2024-03-09,2025-08-31,1165.46,Terminated,2754.13,Yes,Bank Transfer
L1EB1DCA5,U00018,P0062,T01761,2024-11-28,2026-05-22,2573.78,Active,3369.84,No,Credit Card
LA464D78B,U00019,P0009,T02160,2023-11-02,2025-10-22,986.19,Expired,671.16,No,Cash
L21C4460D,U00020,P0006,T01965,2023-08-28,2024-08-22,1561.91,Terminated,1285.12,No,Bank Transfer
LAF80C4DD,U00021,P0085,T01972,2024-04-13,2024-10-10,1466.84,Terminated,3218.76,No,Cash
L767582F7,U00022,P0010,T02604,2023-02-01,2025-01-21,1473.77,Expired,1315.85,Yes,Credit Card
L8013694A,U00023,P0061,T01164,2024-12-19,2026-06-12,2850.38,Expired,1849.22,No,Bank Transfer
L4202F4F8,U00024,P0011,T01166,2024-03-09,2024-09-05,2897.12,Terminated,696.1,Yes,Credit Card
L332B2EEC,U00025,P0061,T01005,2024-01-02,2024-06-30,2116.44,Active,600.84,Yes,Credit Card
L376BE5D8,U00026,P0100,T02016,2022-05-10,2024-04-29,969.16,Active,3219.31,Yes,Credit Card
LFD280F26,U00027,P0018,T01174,2022-12-29,2023-06-27,1175.96,Terminated,2097.26,No,Bank Transfer
L0DF0A935,U00028,P0023,T01624,2024-10-17,2026-10-07,1909.96,Expired,1542.03,No,Credit Card
L14AF7C17,U00029,P0077,T02670,2023-03-26,2025-03-15,3229.55,Active,565.47,Yes,Credit Card
L4162B65B,U00030,P0035,T01476,2024-05-21,2026-05-11,2592.23,Expired,3390.18,No,Cash
L04E85238,U00031,P0031,T00490,2024-12-29,2025-06-27,2312.45,Active,3310.47,No,Cash
L89F1C48D,U00032,P0048,T01138,2022-07-09,2024-06-28,941.1,Expired,1756.38,No,Bank Transfer
LD4A37B39,U00033,P0062,T02690,2024-11-27,2025-05-26,1502.43,Expired,2692.46,Yes,Bank Transfer
LFC92911B,U00034,P0091,T02774,2024-11-17,2026-05-11,3449.5,Terminated,1269.59,No,Credit Card
L0CC23A08,U00035,P0028,T02515,2023-09-25,2025-03-18,2566.27,Expired,1094.29,Yes,Credit Card
L3A51F3DB,U00036,P0049,T01494,2022-11-02,2024-10-22,2326.39,Expired,1891.8,No,Cash
LAC59627F,U00037,P0029,T02012,2024-04-15,2025-04-10,3424.41,Active,2325.58,Yes,Cash
L0100A4E4,U00038,P0018,T01436,2022-07-30,2024-07-19,1743.67,Terminated,842.29,Yes,Cash
L25022E3D,U00039,P0050,T02376,2024-03-14,2024-09-10,1208.37,Terminated,1175.95,No,Credit Card
LC107060C,U00040,P0002,T02126,2022-09-04,2023-08-30,1477.61,Terminated,3051.85,Yes,Credit Card
L7DEEE70C,U00041,P0049,T02550,2023-11-03,2024-05-01,2315.3,Expired,2070.17,Yes,Cash
L6083393F,U00042,P0041,T02507,2025-04-02,2027-03-23,1109.88,Expired,3080.42,Yes,Bank Transfer
L2166B889,U00043,P0014,T01245,2022-05-11,2024-04-30,2751.6,Expired,703.01,No,Cash
L46310AF3,U00044,P0018,T02595,2025-02-02,2025-08-01,2711.15,Active,2130.61,Yes,Credit Card
LDEAD5426,U00045,P0041,T00104,2023-02-03,2024-07-27,1020.66,Expired,1874.9,No,Cash
LE422F285,U00046,P0036,T02650,2023-03-22,2023-09-18,2108.68,Active,997.32,No,Cash
L9A877A24,U00047,P0022,T01638,2024-06-08,2026-05-29,3353.38,Active,3049.93,Yes,Bank Transfer
LEFE29407,U00048,P0068,T00977,2024-06-10,2025-06-05,2606.36,Expired,1886.89,Yes,Credit Card
LF0F5F89D,U00049,P0059,T01697,2023-12-24,2024-12-18,1911.77,Terminated,2452.92,No,Bank Transfer
LFAA21A31,U00050,P0052,T00018,2024-06-24,2026-06-14,2272.67,Active,686.82,No,Bank Transfer
L9CDA6510,U00051,P0057,T02166,2023-07-30,2024-01-26,2183.76,Expired,2919.21,No,Bank Transfer
LEC2E5F17,U00052,P0055,T01659,2023-10-23,2025-10-12,2039.95,Terminated,655.87,Yes,Credit Card
L06BB02B1,U00053,P0065,T01305,2025-04-16,2025-10-13,2922.95,Expired,1104.09,No,Cash
L59FE3310,U00054,P0051,T02964,2023-07-21,2025-07-10,1498.28,Active,994.12,No,Credit Card
LA6D34340,U00055,P0023,T01294,2023-02-11,2024-08-04,1691.58,Terminated,2770.25,No,Cash
LF6D77B5E,U00056,P0066,T02980,2022-09-22,2024-09-11,2202.34,Terminated,1114.64,Yes,Bank Transfer
L10715BDB,U00057,P0017,T01527,2023-08-11,2024-02-07,3170.14,Terminated,3138.75,No,Credit Card
LC7E3130E,U00058,P0024,T01825,2022-10-28,2024-10-17,3150.56,Terminated,1216.39,Yes,Cash
L95DE4A38,U00059,P0045,T01061,2022-09-04,2023-08-30,2018.35,Expired,3454.97,No,Cash
L1525AB2F,U00060,P0067,T01892,2023-06-13,2025-06-02,2884.43,Expired,581.5,No,Cash
L58A12ECD,U00061,P0068,T02252,2023-08-29,2025-02-19,976.05,Expired,1891.79,No,Bank Transfer
L438C9CBA,U00062,P0064,T02630,2025-04-12,2026-10-04,3254.89,Terminated,2116.11,No,Cash
L9B9F66AB,U00063,P0004,T00204,2024-06-27,2024-12-24,2144.09,Active,816.42,Yes,Credit Card
L6F5A92A0,U00064,P0045,T02820,2023-06-19,2023-12-16,2573.31,Terminated,2966.31,Yes,Bank Transfer
L19DEB0C0,U00065,P0013,T00290,2022-11-10,2023-05-09,1827.13,Terminated,2826.84,No,Bank Transfer
L6D057145,U00066,P0092,T02997,2024-10-31,2026-04-24,3404.09,Terminated,1111.3,Yes,Credit Card
L7286220A,U00067,P0048,T02257,2024-08-28,2025-02-24,2212.99,Active,1361.41,Yes,Cash
L88A34A93,U00068,P0003,T01975,2024-10-10,2025-04-08,2940.71,Active,2232.78,Yes,Bank Transfer
L5A2F9516,U00069,P0012,T01424,2024-07-01,2025-12-23,2513.37,Expired,2893.74,No,Credit Card
LE82742A9,U00070,P0048,T01748,2024-05-08,2024-11-04,1869.12,Expired,3245.27,Yes,Credit Card
L44AD5258,U00071,P0011,T00729,2023-05-08,2024-05-02,2239.18,Active,973.86,No,Credit Card
LE1C61D17,U00072,P0027,T01944,2022-05-20,2023-11-11,2678.93,Active,2879.78,Yes,Bank Transfer
L6ED1C370,U00073,P0051,T01812,2022-06-26,2022-12-23,1655.26,Active,3071.54,Yes,Cash
L8B7BDBB7,U00074,P0098,T00691,2024-02-13,2025-02-07,3246.59,Active,1330.71,No,Cash
LF18E6CFD,U00075,P0014,T02228,2025-02-24,2025-08-23,3455.51,Active,922.13,No,Cash
LEFB115F5,U00076,P0083,T00237,2022-10-19,2023-04-17,1345.44,Terminated,1052.67,Yes,Cash
L8CC41E28,U00077,P0093,T00337,2024-07-04,2026-06-24,3213.77,Terminated,2462.88,No,Cash
LDEAA7326,U00078,P0078,T02112,2024-11-25,2026-05-19,1210.68,Terminated,1820.97,No,Credit Card
