property_id,property_name,address,city,type,units_total,year_built,manager_id,parking_ratio,has_gym,has_pool
P0001,Howard LLC,"38808 Jennifer Street, New Timothyshire, WY 33229",Vancouver,Office,122,2013,M028,1.54,No,Yes
P0002,Smith-Johnson,"97325 Beard Parkways Suite 605, Thomasfort, GA 48876",Montreal,Condo,112,2006,M025,1.08,Yes,Yes
P0003,Mathews Inc,"5046 Anita Avenue Apt. 574, Barrmouth, NJ 82786",Toronto,Retail,34,1978,M046,1.91,No,No
P0004,Singh-Johnson,"2944 Zuniga Shoal, Gillespiebury, UT 21636",Montreal,Apartment,126,2004,M026,0.71,Yes,Yes
P0005,Franklin-Wang,"457 Lori Dale, Patricktown, MA 75156",Toronto,Condo,91,2011,M018,1.01,No,Yes
P0006,Curry-Walton,"1533 Paul Course Suite 880, Westborough, AK 80634",Calgary,Office,40,1997,M037,0.67,Yes,No
P0007,Perry-Oneal,"49768 Horn Centers, New Thomas, MD 29286",Montreal,Apartment,122,2013,M035,1.89,No,Yes
P0008,Wilkinson Inc,"16863 Peter Trail, North Patricia, OR 55530",Vancouver,Retail,141,2019,M041,1.82,Yes,No
P0009,Carney LLC,"23635 Rodriguez Hills, West Alice, NY 69872",Toronto,Apartment,94,1989,M011,0.89,Yes,No
P0010,"Frazier, Harrison and Martin","021 Tabitha Lodge, Lake Christophertown, WA 26956",Ottawa,Apartment,107,2017,M021,1.49,No,No
P0011,Garcia LLC,"6376 Taylor Dam Suite 804, Jamesshire, DE 97943",Ottawa,Retail,136,2003,M047,1.73,Yes,No
P0012,"Trujillo, Hicks and Dorsey","21630 David Glen, East Troy, NH 10012",Toronto,Apartment,119,2010,M024,1.33,Yes,Yes
P0013,Wyatt-Gonzalez,"076 Todd Ports Suite 245, Patrickbury, ND 91123",Montreal,Apartment,123,1987,M038,1.29,No,Yes
P0014,Schaefer-Huynh,"990 Brown Wells Suite 995, West Donna, KY 96536",Calgary,Office,72,2006,M024,0.86,Yes,Yes
P0015,Ross Ltd,"66354 Lane Turnpike Apt. 960, East Jasonland, CO 16052",Vancouver,Retail,21,1981,M030,0.64,Yes,Yes
P0016,Golden-Greer,"874 Jessica Corner Apt. 516, Lake Patriciaview, WV 36428",Calgary,Condo,107,1996,M036,1.85,Yes,No
P0017,"Parker, Andrews and Wood","0401 Jennifer Circles Apt. 819, Mcclureview, CT 13516",Calgary,Office,57,2002,M044,1.85,No,No
P0018,Ortiz Group,"01803 Hall Ford Apt. 794, Karenchester, KY 36189",Ottawa,Apartment,149,1976,M031,1.45,No,Yes
P0019,"Novak, Lee and Klein","USNS Mccarty, FPO AA 45276",Toronto,Office,40,2016,M006,1.01,No,Yes
P0020,Rice-Anderson,"81068 Erickson Trail, Port Matthew, MI 03849",Toronto,Office,77,2019,M034,1.02,Yes,No
P0021,Ramirez-Wright,"13164 Travis Trafficway, South Kathleenview, WY 79810",Calgary,Apartment,41,1980,M019,1.59,No,Yes
P0022,Nguyen-Powell,"9550 Mark Circle Apt. 679, Camposchester, IA 63882",Ottawa,Retail,108,2002,M046,1.85,No,Yes
P0023,Cox Group,"3873 Oconnor Centers, West Jon, NY 38379",Montreal,Retail,68,2002,M027,1.83,Yes,No
P0024,"Wagner, Pruitt and Liu","6687 Williams Plaza Apt. 625, Port Carlabury, RI 47894",Calgary,Office,78,2018,M042,1.67,Yes,No
P0025,"Branch, Solis and Salazar","19517 Arnold Plaza, Port Brandonbury, OH 41259",Toronto,Retail,34,2018,M025,1.46,No,Yes
P0026,Cole Inc,"87162 Karen Knoll Apt. 646, New Lauren, OH 61475",Montreal,Condo,70,1994,M048,0.63,Yes,No
P0027,"Brown, Gomez and Moran","364 Christian Mission, Cynthiamouth, CT 51348",Toronto,Apartment,127,2004,M045,0.74,No,Yes
